Topic,Count,Name,Representation,Representative_Docs
-1,7133,-1_vial_lab_lvnews_lic,"['vial', 'lab', 'lvnews', 'lic', 'lbee', 'doge', '', '', '', '', '', '', '', '', '']","['众志成城警民同心抗暴雨 7月31日暴雨侵袭下的北京北京公安民警在雨中为群众导航引路救护背起受困的群众转移至安全地带患难见真情天晴终有时祈盼平安L北京公交警方的微博视频', '北京市气象台发布分区域暴雨红色预警信号预计7月31日10时至8月1日8时门头沟延庆昌平房山海淀丰台石景山怀柔密云的部分地区有大暴雨100150毫米个别点位有特大暴雨250毫米北京市水文总站31日11时升级发布洪水红色预警31日中午记者在北京市阜石路跨永定河大桥上看到桥下的水流湍急远处有房屋被冲进河流因暴雨影响跨永定河大桥上出现拥堵目前正在紧急疏通 L央视网的微博视频 收起d', '关注北京房山平均降雨量超300毫米据 29日20时至31日13时北京地区全市平均降雨量1769毫米其中区平均3468毫米门头沟平均3221毫米最大降雨出现在门头沟高山玫瑰园5809毫米此前北京水文总站升级发布洪水红色预警提醒大家远离河道千万注意安全视频自 为今天上午门头沟龙泉西公交场附近 拍摄袁晓巍viaL中国天气的微博视频 收起d']"
0,1706,0_doge_lab_vial_lvnews,"['doge', 'lab', 'vial', 'lvnews', 'lic', '', '', '', '', '', '', '', '', '', '']","['7月30日河北保定一场暴雨致湖水上涨漫过路面湖里的鱼也涌上街头不少市民看到后纷纷赶来抓鱼对此剧院工作人员表示这鱼是剧院前面景观湖里的目前剧院也有部分进水今明两晚的表演已取消 LAB视频的微博视频 收起d', '其实历史上是东西淀西淀就是白洋淀doge', '7月30日河北保定一场暴雨致湖水上涨漫过路面湖里的鱼也涌上街头不少市民看到后纷纷赶来抓鱼对此剧院工作人员表示这鱼是剧院前面景观湖里的目前剧院也有部分进水今明两晚的表演已取消 LAB视频的微博视频 收起d']"
1,1628,1_lic_doge_lab_lbee,"['lic', 'doge', 'lab', 'lbee', 'vial', '', '', '', '', '', '', '', '', '', '']","['大兴降级发布暴雨黄色预警信号 据区气象台2023年8月1日07时45分降级发布暴雨黄色预警信号大兴区降雨趋于减弱预计8月1日08时至2日08时大兴区有中雨可能伴有小时雨强50毫米左右的短时强降雨城市低洼地区容易出现积水请注意防范 市气象台2023年8月1日07时00分降级发布暴雨黄色预警信号本市降雨趋于减弱预计8月1日08时至2日08时本市大部地区有中雨局地暴雨伴有小时雨强超过50毫米的短时强降雨山区及浅山区出现强降水诱发的中小河流洪水山洪地质灾害等次生灾害风险仍较大城市低洼地区容易出现积水请注意防范 收起d', '洪涝灾害指大雨暴雨引起水道急流山洪暴发河水泛滥淹没农田毁坏环境及各种设施等现象我国的洪水大多发生在789三个月洪涝水灾主要集中在中东部地区多发生在我国七大江河及其支流的中下游地区暴雨洪水不仅会引发泥石流山体滑坡等灾害还容易给各种传染病制造生存机会洪涝灾害后要提高防病意识特别注意环境个人饮食卫生一旦出现腹泻腹痛恶心呕吐发热等症状应尽快到医疗机构就医哦 新浪新闻 d', '7月30日河北保定一场暴雨致湖水上涨漫过路面湖里的鱼也涌上街头不少市民看到后纷纷赶来抓鱼对此剧院工作人员表示这鱼是剧院前面景观湖里的目前剧院也有部分进水今明两晚的表演已取消 LAB视频的微博视频 收起d']"
2,1243,2_lbee_doge_lic_lab,"['lbee', 'doge', 'lic', 'lab', '', '', '', '', '', '', '', '', '', '', '']","['我们是河北涿州这里洪水非常严重跟北京的房山一样严重但是在网上声音很小请小伙伴们帮忙转发尤其是除了保定以外的京津冀地区小伙伴这里需要大量的救援人员以及皮筏艇大船等救援工具', '这里是河北涿州这里洪水非常严重跟北京的房山一样严重但是在网上声音很小请小伙伴们帮忙转发尤其是除了保定以外的京津冀地区小伙伴这里需要大量的救援人员以及皮筏艇大船等救援工具', '看看人们吧别看动物了 热度上去']"
3,685,3____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['不眠夜 听保定高碑店的姐妹说白沟那边已经通知三层以下居民全部撤离了网上说水已经到了松林店揪心 希望今晚水别再涨了 希望大家撑到救援 河北求助小程序补充图一小程序在图四标注处选图二进去先一个个表格搜有没有被填过然后就会发现大部分被填过了且没被救援图三手机已经打不进了打爆了打座机工作人员会给你发短信模版按照模版回信 新增涿州市救援电话 收起d', '祈祷祈祷这里是河北涿州这里洪水非常严重跟北京的房山一样严重但是在网上声音很小请小伙伴们帮忙转发尤其是除了保定以外的京津冀地区小伙伴这里需要大量的救援人员以及皮筏艇大船等救援工具', '这里是河北涿州这里洪水非常严重跟北京的房山一样严重但是在网上声音很小请小伙伴们帮忙转发尤其是除了保定以外的京津冀地区小伙伴这里需要大量的救援人员以及皮筏艇大船等救援工具']"
4,285,4_lbee_lvnews_lic_,"['lbee', 'lvnews', 'lic', '', '', '', '', '', '', '', '', '', '', '', '']","['据北京日报报道截至8月1日6时北京全市平均降雨量2579毫米城区平均2351毫米此次降雨累计雨量大短时雨强高降雨时长和雨量均创历史记录暴雨造成的伤亡令人痛心而次生灾害的破坏力一点也不比暴雨造成的直接破坏小且更加难以预防虽然雨势减弱但防范次生灾害的这根弦不能松应给次生灾害重点区域和地段挂上醒目的警示牌鉴于部分市民对次生灾害没有直接的感受防范意识不强北京市气象局31日晚间发布称降雨落区与前期重叠度高极端性强山区和浅山区极易发生山洪滑坡崩塌泥石流等次生灾害风险造成路段塌方凹陷桥梁冲毁等事故北京市规自委联合北京市气象局升级发布地质灾害气象风险红色预警提示7月31日12时至8月2日12时部分地区发生崩塌滑坡等地质灾害的风险很高次生灾害具有隐蔽性延时性等特点暴雨停止后的几天恰恰是次生地质灾害高发期千万大意不得这次暴雨房山门头沟两区平均降雨量都超过400毫米门头沟最大单点降雨量接近700毫米房山接近600毫米再加上两区多是山地很多地方坡度大长时间高强度的降水很容易导致山区土壤含水量上升土质变松出现山体滑坡泥石流地面塌陷等突发性强危害性大的次生灾害据市交通委8月1日发布的消息怀柔密云已有多处路段发生塌方塌陷现场已采取双向断路措施避免次生灾害的威胁相关部门不只要研判可能发生次生灾害的区域地段以及具体方式通过媒体或其他方式公开发布而且应以醒目的方式在现场标注在一些灾害出现可能性较大甚至已经出现掉块坠落小崩小塌等灾害前兆的地方要设置专人盯守既随时报告灾害发展情况为抢险赢得时间又劝阻人员进入危险区域一旦突然发生洪水或山体滑坡短时间根本反应不过来很容易造成生命危险明者远见于未萌而知者避危于无形房山区周口店镇北下寺村在山洪发生前提前转移受威胁人员永定河上游的北京市斋堂水库在7月30日提前进行了预泄7月31日洪峰形成后更是第一次动用1998年建成的滞洪水库蓄洪最大限度发挥蓄洪调峰作用减轻对下游地区的影响给次生灾害挂上警示牌市民心中也要绷紧防灾弦关注预警提示听从现场人员指挥避开相关危险区域认为雨量不大不顾危险外出拍洪水钓鱼的事儿不能再干了 实习记者 孟雅檀 收起d', '希望平安祈祷祈祷祈祷这里是河北涿州这里洪水非常严重跟北京的房山一样严重但是在网上声音很小请小伙伴们帮忙转发尤其是除了保定以外的京津冀地区小伙伴这里需要大量的救援人员以及皮筏艇大船等救援工具', '大灯前后雾灯亮起来让其他司机更容易发现你的动态双闪不要随便开 控制车速注意观察如果要涉水老司机常说紧赶沙慢赶水开太快了水冲起来了分分钟熄火 能不涉水就不涉水什么水不过排气管之类的也只能是参考一旦发现积水深度不对劲或者水流变很大情况不对立马跑别傻乎乎地待在车里车寄了总比人寄了好千言万语一句话大家注意安全 收起d']"
5,285,5_lvnews___,"['lvnews', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['这里是河北涿州这里洪水非常严重这里需要大量的专业的救援人员以及皮筏艇大型的挂机船救生衣等救援工具求转发求扩散合十合十', '搜救中 受台风杜苏芮影响目前北京市门头沟房山区灾情相对严重7月31日下午16时许 上海科技下属广利核公司陈硕作为北京蓝天救援队队员火速集结支援房山区与多名队友先后辗转多地开展人员转移搜救工作经过一夜的救援工作陈硕已于凌晨三点与救援队其他队员暂时撤回返回家中休整目前救援工作仍在进行中陈硕也在随时待命等待再次出征 收起d', '我们是河北涿州这里洪水非常严重跟北京的房山一样严重但是在网上声音很小请小伙伴们帮忙转发尤其是除了保定以外的京津冀地区小伙伴这里需要大量的救援人员以及皮筏艇大船等救援工具蓝天救援队涿州地区联络人 徐小兵 非常感谢大家合十合十合十涿州超话 收起d']"
6,263,6_lbee_lab__,"['lbee', 'lab', '', '', '', '', '', '', '', '', '', '', '', '', '']","['记者从河北省防汛抗旱指挥部获悉受冷暖空气和台风杜苏芮共同影响自7月27日河北省大部出现强降雨过程全省平均降雨量1374毫米其中降雨较大市保定市350毫米定州市3197毫米石家庄市2892毫米雄安新区2613毫米邯郸市2184毫米廊坊市2242毫米邢台市192毫米降雨较大县保定市竞秀区492毫米保定市莲池区4843毫米保定市满城区4773毫米石家庄市井陉县4518毫米石家庄市赞皇县4407毫米最大降雨点临城县临城赵庄梁家庄10081毫米漳河子牙河大清河永定河北三河水系3日来水量4亿多立方米特别是拒马河永定河北运河承接大量北京来水主要河道共出现142站次涨水过程经统计截至8月1日12时此次强降雨造成河北省87个县区540703人受灾其中因灾死亡9人保定市4人邢台市5人因灾失踪6人保定市2人邢台市4人灾害造成的经济损失正在统计中为有效应对此次台风暴雨洪水截至目前河北省陆续启用7处蓄滞洪区分别为宁晋泊大陆泽小清河分洪区兰沟洼东淀献县泛区永定河泛区完成转移群众8474万人央视 收起d', '7月30日河北保定一场暴雨致湖水上涨漫过路面湖里的鱼也涌上街头不少市民看到后纷纷赶来抓鱼对此剧院工作人员表示这鱼是剧院前面景观湖里的目前剧院也有部分进水今明两晚的表演已取消 LAB视频的微博视频 收起d', '7月30日河北保定一场暴雨致湖水上涨漫过路面湖里的鱼也涌上街头不少市民看到后纷纷赶来抓鱼对此剧院工作人员表示这鱼是剧院前面景观湖里的目前剧院也有部分进水今明两晚的表演已取消 LAB视频的微博视频 收起d']"
7,241,7_lic_vial_lab_,"['lic', 'vial', 'lab', '', '', '', '', '', '', '', '', '', '', '', '']","['记者从水利部获悉受强降雨影响海河流域子牙河水系滹沱河黄壁庄水库7月30日23时入库流量涨至3615立方米每秒依据水利部全国主要江河洪水编号规定编号为子牙河2023年第1号洪水为今年我国大江大河首次发生编号洪水水利部维持京津冀洪水防御级应急响应目前8个工作组正在北京天津河北等省直辖市防汛一线指导地方做好洪水防御工作央广网记者 陈锐海 收起d', '河北涿州一小区地库塌陷洪水涌入应急局楼主体没问题在高层避险等待救援 8月1日河北省保定市民赵女士反映自己居住的水尚仁佳小区被洪水淹没地库塌陷洪水涌入300多人被困应急管理局表示目前楼体无危险需先自救等待救援 L澎湃新闻的微博视频', '7月30日河北保定一场暴雨致湖水上涨漫过路面湖里的鱼也涌上街头不少市民看到后纷纷赶来抓鱼对此剧院工作人员表示这鱼是剧院前面景观湖里的目前剧院也有部分进水今明两晚的表演已取消 LAB视频的微博视频 收起d']"
8,186,8____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['河北多地公羊救援队集结增援 8月1日河北省保定市民赵女士反映自己居住的水尚仁佳小区被洪水淹没地库塌陷洪水涌入300多人被困应急管理局表示目前楼体无危险需先自救等待救援 新京报记者从多位居民处了解到小区积水较深居民楼一层已被淹目前已有600多人被困急需救援浙江公羊救援队队长表示多支救援力量已集结驰援涿州另外公羊救援队航空特勤力量已经全部进入战斗值勤状态公羊救援队直升机计划8月1日下午抵达河北保定备降点但目前灾区云层很厚目视无法飞行陆航直升机在军方雷达的帮助下采用低空贴地的方法突进我们在等待气象条件进一步变好四川陕西公羊救援队已集结完毕等待出发指令浙江公羊救援队队长何军说澎湃新闻 新京报L澎湃新闻的微博视频 收起d', '希望尽快被营救8月1日河北保定涿州市一女子发视频称大马村的玻璃厂房被淹多人受困刘女士表示自己和同事被困在临时搭建的厂房二楼大家扒着玻璃等待救援有24人被困近15个小时水深有4米期间一直在打救援和报警电话因涨水太快无物资又渴又饿希望尽快被营救 L西部决策的微博视频西部决策 收起d', '暴雨中男子开铲车逆流而上成功营救被困一家三口网友技术和胆识缺一不可感谢 L中国反邪教的微博视频']"
